Linux 6.17.0-20-generic (turzo-HP-OmniBook-5-Laptop) 	04/19/2026 	_x86_64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:33 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  243668   3.12  java
05:22:33 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7     25.00     48.00 6326748  226720   2.90  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:34 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      1.00      0.00 5328220  243028   3.11  java
05:22:34 PM  1000    657655    1.00    0.00    0.00    0.00    1.00     7     39.00     96.00 6326748  225972   2.89  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:35 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      3.00      0.00 5328220  243028   3.11  java
05:22:35 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7     26.00     41.00 6326748  225140   2.88  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:36 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  243028   3.11  java
05:22:36 PM  1000    657655    1.00    0.00    0.00    0.00    1.00     7     41.00     69.00 6326748  227672   2.91  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:37 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  243028   3.11  java
05:22:37 PM  1000    657655    0.00    1.00    0.00    0.00    1.00     7      7.00     12.00 6326748  225512   2.88  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:38 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      1.00      0.00 5328220  242900   3.11  java
05:22:38 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      1.00     20.00 6326748  224680   2.87  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:39 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  242900   3.11  java
05:22:39 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      2.00     20.00 6326748  224616   2.87  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:40 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      1.00      0.00 5328220  242900   3.11  java
05:22:40 PM  1000    657655    1.00    0.00    0.00    0.00    1.00     7      1.00      0.00 6326748  222952   2.85  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:41 PM  1000    657504    1.00    0.00    0.00    0.00    1.00     7      0.00      0.00 5328220  242900   3.11  java
05:22:41 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7     65.00    126.00 6326748  229320   2.93  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:42 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  242900   3.11  java
05:22:42 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 6326748  222536   2.85  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:43 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      1.00      5.00 5328220  243048   3.11  java
05:22:43 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      5.00     15.00 6326748  223016   2.85  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:44 PM  1000    657504    0.00    1.00    0.00    0.00    1.00     7      0.00      0.00 5328220  243048   3.11  java
05:22:44 PM  1000    657655    0.00    1.00    0.00    0.00    1.00     7     14.00     54.00 6326748  224488   2.87  java

