Linux 6.17.0-20-generic (turzo-HP-OmniBook-5-Laptop) 	04/19/2026 	_x86_64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:23 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  238672   3.05  java
05:28:23 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      1.00      0.00 6992348  251788   3.22  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:24 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  238160   3.05  java
05:28:24 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7     11.00     34.00 6992348  252396   3.23  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:25 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  238160   3.05  java
05:28:25 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 6992348  252268   3.23  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:26 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  238160   3.05  java
05:28:26 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 6992348  252268   3.23  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:27 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  238160   3.05  java
05:28:27 PM  1000    657655    0.00    1.00    0.00    0.00    1.00     7      0.00      0.00 6992348  252268   3.23  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:28 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.99      0.00 5328220  238160   3.05  java
05:28:28 PM  1000    657655    0.99    0.00    0.00    0.00    0.99     7      0.99      0.00 6992348  252268   3.23  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:29 PM  1000    657504    1.00    0.00    0.00    0.00    1.00     7      0.00      0.00 5328220  238160   3.05  java
05:28:29 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 6992348  252268   3.23  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:30 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  238160   3.05  java
05:28:30 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 6992348  252268   3.23  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:31 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  238160   3.05  java
05:28:31 PM  1000    657655   18.00    2.00    0.00    0.00   20.00     7    308.00    236.00 6992348  260960   3.34  java

