Linux 6.17.0-20-generic (turzo-HP-OmniBook-5-Laptop) 	04/19/2026 	_x86_64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:20 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      2.00 5328220  243040   3.11  java
05:23:20 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 6326748  225024   2.88  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:21 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  242912   3.11  java
05:23:21 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      3.00     16.00 6326748  223436   2.86  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:22 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  242912   3.11  java
05:23:22 PM  1000    657655    1.00    0.00    0.00    0.00    1.00     7      0.00      3.00 6326748  223180   2.85  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:23 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  242912   3.11  java
05:23:23 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      3.00     22.00 6326748  223608   2.86  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:24 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  242912   3.11  java
05:23:24 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7     50.00     88.00 6326748  227064   2.90  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:25 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      1.00      2.00 5328220  242912   3.11  java
05:23:25 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 6326748  227064   2.90  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:26 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  242912   3.11  java
05:23:26 PM  1000    657655    1.00    0.00    0.00    0.00    1.00     7     80.00    153.00 6326748  230888   2.95  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:27 PM  1000    657504    0.00    1.00    0.00    0.00    1.00     7      0.00      0.00 5328220  242912   3.11  java
05:23:27 PM  1000    657655    1.00    0.00    0.00    0.00    1.00     7      2.00      4.00 6326748  230808   2.95  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:28 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  242912   3.11  java
05:23:28 PM  1000    657655    0.00    1.00    0.00    0.00    1.00     7      9.00     10.00 6326748  231072   2.96  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:29 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  242912   3.11  java
05:23:29 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      2.00     11.00 6326748  228904   2.93  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:30 PM  1000    657504    1.00    0.00    0.00    0.00    1.00     7      0.00      0.00 5328220  242912   3.11  java
05:23:30 PM  1000    657655    1.00    0.00    0.00    0.00    1.00     7      0.00      0.00 6326748  225960   2.89  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:31 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  242912   3.11  java
05:23:31 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      5.00     13.00 6326748  226408   2.90  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:32 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      1.00      0.00 5328220  242912   3.11  java
05:23:32 PM  1000    657655    1.00    0.00    0.00    0.00    1.00     7      1.00      0.00 6326748  225256   2.88  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:33 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  242912   3.11  java
05:23:33 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      4.00     10.00 6326748  225396   2.88  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:34 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  242912   3.11  java
05:23:34 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      6.00     30.00 6326748  225692   2.89  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:35 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  242912   3.11  java
05:23:35 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      6.00     25.00 6326748  226560   2.90  java

