Linux 6.17.0-20-generic (turzo-HP-OmniBook-5-Laptop) 	04/19/2026 	_x86_64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:27:38 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7     12.00      0.00 5328220  238568   3.05  java
05:27:38 PM  1000    657655   30.00    5.00    0.00    0.00   35.00     7    790.00    246.00 6992348  255544   3.27  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:27:39 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      1.00      2.00 5328220  238440   3.05  java
05:27:39 PM  1000    657655   31.00    4.00    0.00    0.00   35.00     7    590.00    301.00 6992348  260868   3.34  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:27:40 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      5.00      2.00 5328220  238736   3.05  java
05:27:40 PM  1000    657655   13.00    1.00    0.00    0.00   14.00     7    140.00    148.00 6992348  258316   3.30  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:27:41 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  238736   3.05  java
05:27:41 PM  1000    657655   17.00    2.00    0.00    0.00   19.00     7     85.00     14.00 6992348  254248   3.25  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:27:42 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      6.00      0.00 5328220  238500   3.05  java
05:27:42 PM  1000    657655   36.00    4.00    0.00    0.00   40.00     7    260.00    186.00 6992348  252636   3.23  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:27:43 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      7.00      3.00 5328220  238420   3.05  java
05:27:43 PM  1000    657655   26.00    6.00    0.00    0.00   32.00     7    399.00    291.00 6992348  252644   3.23  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:27:44 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7     11.00      1.00 5328220  238620   3.05  java
05:27:44 PM  1000    657655   21.00    3.00    0.00    0.00   24.00     7    344.00    236.00 6992348  252144   3.23  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:27:45 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      5.00     14.00 5328220  238544   3.05  java
05:27:45 PM  1000    657655   23.00    5.00    0.00    0.00   28.00     7    607.00    334.00 6992348  251288   3.21  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:27:46 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      1.00     13.00 5328220  238488   3.05  java
05:27:46 PM  1000    657655   22.00    3.00    0.00    0.00   25.00     7    676.00    221.00 6992348  251396   3.22  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:27:47 PM  1000    657504    0.00    0.99    0.00    0.00    0.99     7      8.91     18.81 5328220  238516   3.05  java
05:27:47 PM  1000    657655    7.92    3.96    0.00    0.00   11.88     7    673.27    302.97 6992348  251752   3.22  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:27:48 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      6.00      9.00 5328220  238420   3.05  java
05:27:48 PM  1000    657655   15.00    4.00    0.00    0.00   19.00     7    712.00    329.00 6992348  251376   3.22  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:27:49 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7     16.00      8.00 5328220  238504   3.05  java
05:27:49 PM  1000    657655   27.00    5.00    0.00    0.00   32.00     7    675.00    259.00 6992348  251392   3.22  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:27:50 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7     14.00      4.00 5328220  238172   3.05  java
05:27:50 PM  1000    657655   25.00    6.00    0.00    0.00   31.00     7    646.00    388.00 6992348  251312   3.21  java

